Names	total	elements
		TLR3
		MARCHF2
		STATH
		KANSL1L
		LSS
		TMEM94
		ARHGEF40
		TGDS
		UBASH3A
		SMR3A
		NPY5R
		RPL23AP22
		RTN4
		FASLG
		PRKAR2B
		B3GALT4
		NPFF
		COQ6
		PECAM1
		BTN1A1
		ALOX15B
		MAOB
		LGMN
		PYGL
		PLAAT3
		INA
		DGKI
		EIF5
		PLA2G5
		SIRPB3P
		TPP1
		TAF1
		METTL22
		HERC2P5
		IL1R2
		MIR9-1HG
		TPGS2
		DCUN1D4
		NECTIN3
		FOS
		AGPAT2
		TUBB6
		GRM5
		FGF2
		CLU
		GPSM3
		ADGRL3
		CAPRIN2
		UNC93A
		EFEMP2
		ALDH1A1
		GCFC2
		ABCD1
		COQ8A
		FAH
		NIT1
		RELA
		MIR600HG
		FRG1CP
		KMT2A
		CEBPA
		C2CD2
		AQP1
		TLR4
		PCDH9
		LMO3
		ACVR1B
		CAP2
		TMEM242
		ARHGEF6
		CIZ1
		MARK4
		PPP1R16B
		CTNNAL1
		TNFAIP2
		KLK10
		MMD
		MYO1F
		TCF7L2
		ELF5
		CDV3
		MMP25
		ULK2
		ADIPOR2
		ECHDC2
		VEGFD
		FAM107A
		PCSK5
		RNF130
		MAP2K1
		ST13
		TNXA
		MT1H
		COL6A1
		SGCE
		TCF7
		AKR1C3
		MIR22HG
		FBXL18
		ADAM22
		MFNG
		FEZ2
		VTI1B
		JUN
		CSF1R
		ADAMTSL3
		CALHM2
		POM121
		YBX1P1
		MTMR3
		PGD
		ICAM5
		CYP3A4
		PRKAG1
		PARM1
		C6
		PTGIS
		HBA2
		CHKB-CPT1B
		DCAF8
		APBA1
		PINK1
		GAPDHS
		CYP26A1
		PDHA1
		TKT
		MPL
		SLC7A6
		CSPG4
		GNAL
		ARL2
		GCNT1P1
		FADS1
		HNMT
		KPNA3
		ALDH3A2
		GLE1
		RASGRF1
		ZNF556
		C3
		SRSF6
		QDPR
		UBE2E4P
		SAA3P
		FNDC8
		LDHB
		FOXB1
		MMP24OS
		NDUFA2
		MFAP5
		NTAN1
		CD99
		ZNF79
		HLF
		TCF4
		KCNJ13
		DNAAF1
		STON1
		AAMDC
		SULT1A2
		ZNF747
		SNN
		VSTM4
		CEBPD
		ALDH6A1
		PFKFB1
		ZFP36
		SVEP1
		SIRT2
		DGAT1
		BTNL3
		GNS
		PDE4DIPP1
		GPR176-DT
		WBP11
		ANO10
		CCNK
		UPK2
		RRAS
		S100B
		BMP2
		IPO5
		LST1
		CALB2
		SIK2
		RITA1
		RBMS1P1
		CYCSP44
		GAL3ST1
		GATD3B
		CHST2
		SPATA2
		UBE2L3
		ACAA2
		PLOD2
		KLF9
		TPST2
		MRC1
		KCNIP1
		GYG2
		ERGIC3
		NME4
		LSAMP
		CER1
		PTGER4
		NLRX1
		EFEMP1
		P2RY14
		DOCK6
		CD14
		PSMD9
		PKIG
		ALOXE3
		ADGB
		CNTLN
		PALM
		RSPH14
		SYNE3
		PPP3CB
		TRAV27
		ANGPTL4
		TLN2
		CTNS
		CA4
		TSKS
		GYS2
		MS4A4A
		LRRC23
		SH3BP5
		SRPX2
		CBR3
		PLA2G2D
		APOH
		ARHGEF28
		CCPG1
		RBBP4P4
		F13B
		ABCC6P2
		TUSC3
		FAM47E-STBD1
		CSPG4P2Y
		PID1
		RAI2
		MAP2K7
		NFE2L1
		SRD5A3
		SART1
		SHB
		CHST7
		SLC25A20
		CAMK4
		NPLOC4
		ROBO3
		PJA1
		HTATSF1
		TST
		CELF2
		GLRX
		SAA1
		PF4V1
		CYB5R3
		PHF8
		RABEPK
		TFPI
		FTLP3
		ZNF106
		SEZ6L
		PCYOX1L
		SLC39A8
		CCDC69
		ICA1
		PLPP3
		VASP
		NLRP1
		LAMB2
		SPANXB1
		MCUR1
		MAP3K7
		AKR1C1
		BAG4
		CAT
		CTAGE11P
		TMEM59L
		CHRNA3
		CFLAR
		WDR48
		CDKN2C
		ACACB
		CUTC
		STXBP1
		ADM
		PPP1R1A
		ETFB
		GRAP
		CERT1
		LMF2
		SLC24A3
		CEACAM1
		FUT7
		PRELP
		ZNF91
		HSDL2
		MORF4L1
		APC
		PMP22
		CCN5
		COMMD9
		RSL1D1
		SPTBN4
		ME1
		EPHB2
		CALM1
		ESR2
		DNAI2
		HACD2
		GPS2
		KCNJ8
		ITIH4
		IFNA21
		SYNGR1
		CFD
		HSPA12A
		LETMD1
		APC2
		STEAP1
		MLXIP
		COBLL1
		NBN
		MYL4
		WASL
		SOS1
		PTEN
		MAST2
		ANXA1
		PROZ
		ACOT1
		KLF11
		NDUFAF3
		SOX13
		KCTD15
		GK
		PAX4
		PRDX6
		NXPH3
		AIDA
		PKD2
		ZNF277
		AADAC
		NMRK1
		RPGRIP1
		MAN2A2
		MEOX1
		PTPN11
		PHKA2
		UCHL1
		APOL6
		SEPTIN11
		BTG1
		LGALS1
		CASP10
		SRI
		MGST3
		LMBRD1
		EIF2B3
		ABCA1
		CSF1
		EDC3
		STOML1
		CSDE1
		CLPTM1
		CYP2F2P
		COPZ2
		FOXD3
		ZFP69B
		CMC4
		CFH
		FUT6
		MROH7
		CADM3-AS1
		SPTAN1
		PSPN
		CAVIN1
		RPL13P5
		YBX1P10
		MTTP
		OR1D2
		MPC1
		TGM5
		NEK7
		EMP1
		ATP2A1
		FAM149A
		SLC19A3
		FBLN1
		ADGRL4
		AFF4
		OR7E156P
		HSPB2
		SMOX
		SF3A2
		ADRA1B
		GH2
		LMO2
		NYNRIN
		CCDC134
		C11orf95
		TNMD
		HOXC5
		USP25
		PCYOX1
		HBD
		PCK1
		NPR3
		CTRB2
		RGCC
		SZRD1
		ACO1
		GABARAPL1
		SLCO1A2
		BMP4
		OSTM1
		VSIG4
		AGTR1
		MC1R
		CRYBG3
		ESD
		CCKBR
		ADRB2
		JCAD
		S100A6
		AK2
		NTRK3
		LARP6
		POLR3C
		SGCG
		TYRO3
		INHBB
		DCAF16
		GAB2
		DIS3
		IL12A
		FAF2
		ADA
		SIGLEC6
		ECI2
		ANXA5
		ANP32D
		XCL2
		ADGRA2
		RANBP3
		TSBP1
		ACSM5
		PLIN1
		FERMT2
		MLX
		BLOC1S1
		WBP1L
		KIR2DS4
		ACRV1
		APIP
		ZNF394
		MFAP4
		MEN1
		ECM2
		UROD
		TUBB2A
		TLE1
		TRAPPC12
		KCNJ1
		ATP1A2
		OPTN
		RBP4
		SP100
		PXDC1
		MAP2K5
		CHRNA1
		CD80
		ADAMTS1
		PRKG1
		GPR27
		KIR2DL3
		FOXRED2
		FABP1
		NFIB
		ETFDH
		PEA15
		SERPINB4
		TSPO
		IL2
		STX12
		GRIN1
		JUNB
		DENND3
		SCN2A
		PRRG2
		RHOB
		ENSA
		HOOK2
		PRB1
		ABCC10
		PEDS1-UBE2V1
		HADH
		GLUL
		DNPH1
		RECK
		EGFL6
		ADK
		VAMP3
		SIDT2
		ADCY6
		OGFR
		OR5I1
		SNX3
		MINDY2
		ITM2A
		CCNH
		PRELID3A
		MPDZ
		H4C14
		ATF6
		FMO2
		DIPK1A
		HFE
		PLLP
		MTSS1
		DLD
		MYMX
		ANGPTL2
		RANGRF
		CRK
		PSG6
		SPRR3
		KCNE2
		RHOBTB3
		TJP2
		SERINC1
		PEX19
		YBX3
		YAP1
		SIK3
		CLIP1
		GLULP4
		MAP7D3
		KDM5D
		DCC
		CCDC92
		KLK11
		SMG7-AS1
		CEBPB
		CCL3
		SEC14L1P1
		RETSAT
		CES1P1
		PGM3
		ADGRA3
		SMG9
		SUCLA2
		ATP10B
		SCNM1
		TNS2
		RUBCN
		PEPD
		S100A13
		EAF2
		HBG1
		PCIF1
		PIK3IP1
		AQP7
methylation	5348	PNCK
		C9orf152
		AACS
		ELMO2
		FAM38B
		SLC18A1
		CD44
		PCDHB15
		TMEM216
		FARP1
		KCNMA1
		PAX7
		SMARCD3
		PKNOX2
		RALYL
		C15orf27
		GPR98
		ATF6B
		RXFP3
		MEFV
		C10orf25
