Names	total	elements
		CRYBB2
		KHDRBS1
		LARS2
		TRIM59
		DCTN2
		TTLL8
		FAM70A
		UHRF1
		GPC6
		LOC401010
		HIP1
		FAM120B
		TTLL10
		ZNF833
		SCN2B
		SPRYD3
		DPAGT1
		OR51B5
		ST7
		RASGRF2
		MAGED2
		KPNA6
		SSBP1
		ANKRD55
		TRPS1
		SUPT7L
		TM4SF19
		DOK7
		MFSD9
		ERN1
		NAGK
		GPR111
		PCNXL2
		AZI1
		NOTCH3
		RBP1
		C4orf26
		C1orf116
		KIAA1026
		TREX1
		TNFSF14
		PHYHD1
		CRISPLD2
		AOAH
		FBXO32
		TMEM90B
		TRIM15
		ESPN
		NXPH1
		KIAA1267
		TRIM25
		SDCBP2
		HOXB2
		SESN2
		PLXDC1
		RASA3
		ZFP57
		RSPH9
		MPG
		ITPRIP
		CASP12
		SEPN1
		E2F3
		HDC
		KLHL3
		LOC644172
		SYTL3
		NDFIP1
		CUTA
		FTSJ2
		ADCY9
		ATP6V1B1
		LOC283332
		PTPN13
		PPP4R4
		SFRP1
		DAPK1
		MTMR11
		VAV3
		SUOX
		DAAM1
		ARHGAP22
		NEK3
		SSTR4
		PCDHGB1
		INPP5A
		CES1
		TARM1
		SUSD1
		RASSF1
		CARKD
		ARHGAP27
		CNTN6
		PKD2L2
		C2orf66
		MBOAT2
		PISD
		CLIC6
		ZAK
		C7orf40
		USP1
		TRAP1
		RNF44
		CENPM
		DPYSL3
		TTC7B
		GPC1
		RBL1
		APP
		IFITM4P
		GATA4
		MNX1
		CMTM7
		SMAD5
		IGF2BP1
		SLC16A10
		LOC441601
		PRSS1
		HLX
		ZNRF1
		HHATL
		C6orf124
		UBE2J2
		KRT23
		TCP10L2
		ODZ4
		RAB7A
		S100A9
		C10orf11
		SLC35B4
		PMS2
		ARNT2
		ITPR3
		LOC284100
		AMZ1
		RNLS
		SPOCK1
		RXRB
		SNORD115-11
		PCNXL3
		FXC1
		PLCE1
		CEP250
		MLC1
		PYROXD2
		POLR2G
		SLC4A1
		INPP5E
		ZCCHC16
		GLTP
		DMP1
		TMEM151A
		HERPUD2
		ADAM12
		ZNF572
		GAS5
		NT5DC1
		PAK1
		ADCY7
		PLA2G2C
		PELI2
		DCAF5
		GJD3
		C1RL
		TECTA
		CCDC46
		ATP9B
		DAZAP1
		SCAND3
		LOC100128977
		PAIP1
		C15orf48
		RNU5E
		IGF2BP3
		FAM113B
		MIR548H4
		STK32C
		CACNA2D1
		DEC1
		SH3BP4
		ANKRD13B
		TCF25
		TMCC3
		NWD1
		MIR548I4
		C19orf39
		C18orf20
		AES
		SNORD22
		TOP3A
		MSMP
		FXYD6
		MS4A10
		MTNR1B
		CLCNKA
		NSMCE2
		PGCP
		TET3
		CASP6
		NUDT17
		TMEM39A
		PCSK1
		RAB40B
		MAGEB3
		NCRNA00219
		MRPL38
		LRRN2
		PI4KB
		MTMR1
		SYNGAP1
		SUSD2
		PCOLCE
		FRY
		CXADR
		MGC14436
		POLR3K
		UTF1
		KIAA1949
		ZNF182
		LAX1
		DARS
		B4GALNT1
		SHC1
		HERC2
		HSD11B2
		C2orf65
		LIMS2
		PCGF3
		ITM2B
		RAB19
		BAHCC1
		ENTPD3
		ACSL3
		PIK3R5
		UTRN
		COL9A2
		PALLD
		GPC5
		SDAD1
		SIGLEC9
		TLR1
		WDR69
		CPNE5
		C6orf123
		GPR37L1
		MACROD1
		ASB13
		GSS
		SFRS1
		TMCO3
		KCNA1
		ANLN
		C15orf52
		PPP3CA
		SLC1A7
		DLX2
		GNAS
		DDB2
		TSPAN13
		MRPL52
		DYSF
		FOXJ1
		GOLGA3
		CDKL3
		KIAA1715
		KIAA2018
		SERPINB9
		RIPK4
		PLEC1
		MIB2
		ASB10
		RING1
		CXorf61
		WDR59
		BHMT
		CCDC57
		NPC2
		LAIR1
		A2ML1
		C10orf120
		LRRC8D
		CEP170
		DNAJC5
		AIRE
		LMOD3
		FIGF
		TRIM41
		MRAP
		ZNF598
		SLC6A15
		FOXI2
		RIN2
		PRDM16
		SLC38A10
		FRRS1
		EP400
		CTSL2
		PTK2
		ULK4
		RNF217
		DMRT3
		MRGPRD
		UBR3
		DNM1
		ATOH8
		LLGL2
		LRIT1
		USP7
		HSP90AB2P
		PPM1K
		SCGBL
		C20orf177
		MEIS2
		KIR2DL4
		STARD13
		PCDH7
		FZD9
		ZNF75A
		RPLP1
		TNFRSF10A
		SCP2
		GNAT1
		IFT140
		MAFK
		DENND1A
		ALCAM
		SH2B2
		SBNO2
		TMEM99
		SC4MOL
		SLC6A6
		FAM162B
		TRIM29
		SNHG3-RCC1
		MPP4
		CDS1
		RAB3A
		C1orf168
		AVEN
		ZNF41
		CDH15
		NPM1
		ADAM19
		GCK
		DNMT3B
		GUCY2C
		PNLDC1
		BARX2
		DAO
		TASP1
		MIR9-1
		PDE4C
		CCT8
		LOC619207
		PPFIA3
		OR2C3
		RAD18
		ESRRA
		PIP4K2B
		BAMBI
		POM121L12
		GPR19
		MRGPRF
		BDH2
		PIK3AP1
		DEPDC5
		PHF16
		PENK
		TRIP12
		PLD6
		MBD5
		RUNDC2A
		LIF
		NKAIN3
		APPBP2
		KIAA0355
		ERO1L
		ACOT7
		FGF6
		ZNF395
		SNORD114-6
		ENDOG
		EZR
		SLC38A4
		FGFR3
		DYNC1H1
		CLSTN2
		C10orf110
		HINT3
		NACAD
		BBS1
		WDR20
		PLD1
		LOC148145
		CHI3L1
		CSDA
		VTCN1
		DHX16
		CLEC3B
		LEMD2
		NDUFC1
		NBR1
		AKNA
		KIF2A
		C9orf173
		MEG8
		TTLL11
		NEBL
		HSPA8
		FAM71E2
		RARB
		COG3
		CBFA2T2
		PNOC
		STK40
		EFHA2
		ARPC3
		ADAMTS2
		NPHS1
		MYH13
		TMED9
		SNORD114-7
		COLEC11
		KIAA0494
		SLAIN1
		APOBEC3B
		FAM54B
		CARS
		NR2C2
		C9orf25
		TLE2
		FXN
		PHF1
		RBM44
		FRYL
		AGTRAP
		RHOBTB2
		MMP27
		GPRC5C
		VWA1
		RABEP2
		AKR7A3
		FUBP1
		KIAA0586
		CPAMD8
		IL5RA
		TIAM1
		PERP
		PCDHB18
		CDH24
		TNFSF12
		PBX1
		CSRP3
		KRT17
		SYTL1
		CBX6
		PPP1R12A
		RSPO2
		RBM38
		PHACTR1
		ZNF583
		DGKD
		LOXL1
		MTSS1L
		ATP1A1
		C5orf4
		PLXNB3
		RIMBP3
		SORCS2
		ACVR2A
		YWHAZ
		PRRX1
		ANKRD52
		FAM83H
		MYOD1
		ARHGEF16
		PLK5P
		TRAF2
		SNHG9
		HCK
		IL22RA2
		IFI16
		ZC3H6
		DISC1
		GABBR1
		PROX1
		OSBPL10
		PPP1R1B
		LANCL2
		LAMB3
		PPL
		CATSPER4
		ZFP41
		FMN1
		CCL26
		RBM9
		CCDC6
		TMEM212
		TP53I13
		CLDN9
		SLC25A18
		PHF21B
		ZFPM2
		S100A3
		LBXCOR1
		RRP7B
		VWA2
		TDRD10
		FTH1
		KCTD10
		MST1P9
		FAM66A
		ADC
		MLL3
		SNTG2
		MUC5B
		CTSB
		PXN
		KIAA1161
		C12orf65
		CYHR1
		FLJ45983
		NTM
		FANCA
		DNAJC11
		VTI1A
		PCBP3
		ASAP1
		BFSP2
		PDSS1
		LOC400940
		C1orf198
		IKBKG
		PGAM1
		EEPD1
		MEIS1
		CCDC132
		COL23A1
		AMMECR1
		NSD1
		LRRC2
		CRYBB3
		TTC30B
		ANO9
		WDR91
		HAGH
		NCAPD3
		C20orf160
		CACNA1H
		CNDP2
		TXNDC3
		CAV3
		KCND3
		TMEM79
		CREBBP
		GTF3C5
		ITGB1
		MIR1265
		DUSP14
		PSMC4
		ZNF649
		RIMBP2
		SGK1
		COL5A2
		PRMT8
		MIR614
		CSPP1
		LRRC56
		SOX10
		CYB561
		CHST10
		BAI1
		BRSK1
		THY1
		AGXT2L1
		KIT
		LRBA
		DCLK2
		NAPB
		FLJ14107
		GAB4
		ZNF827
		FNTB
		KRT8
		C5orf46
		SOLH
		MAP7
		DSE
		SPAG9
		OSBPL3
		MST1P2
		ANTXR1
		TMPRSS13
		CRCP
		RHCE
		C7orf49
		CORO1C
		PQLC2
		ATG7
		KANK3
		OR52A4
		GTPBP5
		F2
		GRIA1
		PLAC9
		ZNF593
		LENG9
		FAM81B
		FOXR1
		MYL10
		CSNK2B
		BMP7
		C1QTNF7
		ADAMTSL4
		TEX2
		REXO1
		MAP1A
		SSC5D
		C17orf80
		RASAL3
		LOC284379
		GALNT2
		NAV2
		ENTPD2
		WNT9A
		TMEM185B
		ZNF362
		DND1
		STK3
		IL21R
		CHN2
		MIR141
		BRUNOL4
		C6orf48
		FCGR3A
		PRDM6
		IGF2AS
		DNMT3A
		ESRP2
		GAS8
		MIR1204
		MARCH3
		NCKAP5L
		OR51S1
		HNRPLL
		ITGA6
		BAG3
		C1GALT1
		NKAP
		CYP2A7
		CCND1
		CA5A
		USP35
		CTSK
		DKK4
		TMEM72
		USP11
		MSR1
		AGAP4
		TRPM2
		LOC644649
		PSMD2
		ZNF740
		ATXN2
		SMCHD1
		NET1
		MVD
		C11orf61
		SYT7
		GCNT2
		ZNF767
		C7orf41
		SST
		KCNN3
		OLIG1
		ACE2
		OTX2OS1
		SPSB2
		PRMT1
		EDA2R
		C2orf84
		PLCXD3
		MIR889
		FAM107B
		CLN6
		DMXL1
		PTPN14
		RBM3
		GPR1
		SNORD93
		HTR5A
		GRM1
		ACOT9
		PDE4D
		FAM53A
		EPHB3
		RAMP3
		ZKSCAN1
		TSPYL5
		C20orf54
		EPSTI1
		LRIG1
		PRSS27
		GAP43
		ERC2
		KCNMB3
		POFUT2
		PRDM13
		TNFRSF10C
		FRS3
		KLK12
		HCG27
		PDE3A
		BSX
		JMJD5
		RASGEF1A
		LOC646627
		TRANK1
		RIMS1
		RCN1
		TEX14
		BCAR3
		TPD52L1
		SPATC1
		FGFR4
		C22orf9
		POR
		KIF9
		PIK3CD
		LOC650226
		SLC7A11
		PITPNM2
		FHL5
		MIR299
		UXT
		TINAGL1
		DCUN1D2
		ZXDC
		DOCK4
		EOMES
		SCARF2
		VPS53
		UBL4B
		PCDHB13
		PGLYRP4
		RUFY1
		ASB1
		TNFRSF8
		BCL11B
		FOXE3
		ART4
		LMX1A
		ZC3H12C
		EVX1
		PLS3
		SLC9A3R2
		PCDHA7
		LOC100129716
		RSPH3
		PTPN9
		ABCA12
		TTC27
		PYROXD1
		SP9
		PCSK2
		TSPAN2
		CCDC37
		PPP1R3F
		ARID2
		IL13
		MDFI
		MIR670
		LFNG
		PIP5K1C
		ZDBF2
		POU2F2
		HUNK
		ZBTB4
		B4GALT4
		LOC100272228
		TSPAN14
		LOC389033
		NAA40
		CLIC1
		PDK4
		OR51B6
		FUT8
		ELL3
		NNMT
		NEK10
		MIR662
		SNX29
		C17orf56
		FILIP1
		C8orf73
		LOC91948
		STAT1
		PTTG1
		HYAL2
		TMEM62
		TBC1D10A
		CDH29
		RBPJL
		C12orf71
		NRTN
		EPHB1
		SSBP2
		TARBP1
		TNFRSF25
		GABRA1
		HABP2
		LPHN3
		DLL4
		REEP1
		MYOCD
		SLC2A1
		C9orf156
		ATP2A3
		ZIK1
		KCNQ1
		EPCAM
		RECQL5
		PROCA1
		NR2F2
		CTTNBP2
		ANGPTL1
		RGS1
		ACCN4
		PRDM1
		TEAD4
		ZNF862
		LOC646982
		PDE7B
		BBX
		ARMC2
		RERE
		PIGB
		LINGO3
		CYTH4
		ZNF608
		IGSF21
		MTMR9L
		PCDHB6
		GLCCI1
		PTPRC
		B3GALT2
		MYO1E
		CCDC74A
		MIPEP
		BEST3
		HRNR
		FLJ45340
		CAPN8
		ZNF727
		GSG1L
		RAB24
		GREM2
		HERC1
		NCRNA00051
		INPP5F
		MIR134
		SHC2
		MTUS2
		COL9A3
		IL19
		OR6P1
		CTR9
		LOC84740
		CDC27
		MDGA1
		LECT1
		PTTG1IP
		COL9A1
		DBP
		VAC14
		COL5A3
		C2orf64
		ZC4H2
		HAS3
		PPP1R13L
		PARP15
		TTC19
		UBASH3B
		EGFL8
		MC4R
		CALML5
		ZNF835
		PPP2R4
		SLC25A2
		IP6K2
		HNRNPD
		LOC645323
		RBM34
		HOTAIR
		EXT1
		GALNTL4
		CDRT1
		RCOR1
		MKNK2
		SEC16A
		SMAD2
		ODZ3
		EFNA5
		YWHAG
		FCGRT
		NOL4
		POLS
		NXN
		IGF2BP2
		MFSD7
		PRKCZ
		MCART6
		TSSC4
		CHRNA6
		GATA3
		SLC2A14
		PM20D1
		KLHDC7A
		ZNF365
		SLC22A23
		LOC339568
		LDLRAP1
		KCTD4
		LSM14B
		PLCH1
		FLCN
		MPZ
		SSBP3
		NGEF
		HDAC4
		RPS6
		RNASE13
		GLRA1
		HS3ST3B1
		FAAH2
		ZNF717
		MIR497
		FAM102A
		KLHL1
		OR51B4
		HMGN2
		GSTM1
		BRPF1
		KIDINS220
		CYP2S1
		AMFR
		FNIP2
		HSD17B3
		HOXA2
		BAT1
		RNF216
		ZNF322A
		TULP1
		HOXD12
		TNRC4
		AASS
		TNRC6A
		RHOU
		FTO
		C10orf128
		PPP3R1
		USP46
		STIM2
		PLAT
		UBE3B
		C8orf46
		PPP1R2P1
		IQCE
		SPTY2D1
		KIAA0182
		LVRN
		SPOP
		RPGRIP1L
		PTPRF
		ICMT
		FAM25A
		BOK
		MAML1
		BTN2A2
		TYK2
		MUC6
		ADAMTS15
		THBS4
		PIP4K2A
		ARHGAP1
		TCL1A
		MEX3A
		ENOX1
		MYLK
		TFAP4
		B4GALNT3
		HOXD10
		FSCN1
		TRIM66
		CHI3L2
		GPBAR1
		AKAP6
		C10orf71
		LBX2
		RINL
		UBAC2
		TTC39A
		RPL32P3
		CSGALNACT1
		ZNF786
		CSMD2
		GPR144
		OR8B8
		PRPF31
		MRPL55
		SMAD1
		C6orf222
		PLCD1
		NPHS2
		ACTRT2
		C9orf172
		RAB3GAP2
		RIOK2
		SLC22A15
		CLEC7A
		EEF1DP3
		ZNF142
		SORCS3
		KRTAP12-4
		C2orf43
		GPRIN1
		BAZ2B
		C1QTNF6
		POU6F2
		KIAA0146
		PSMG1
		NISCH
		MIR30D
		KRTAP19-5
		OPCML
		ALDH16A1
		LOC440335
		MARK2
		KIRREL2
		HLA-DPB1
		SFI1
		HSD3B2
		ARL6IP5
		GABRD
		TNKS1BP1
		CD74
		HSPA12B
		HELB
		CD163L1
		VENTX
		MGST2
		FEZ1
		UBXN11
		TRPV4
		PLEKHG4B
		LAD1
		DIRC3
		C2CD4D
		EHD4
		EMP3
		SYNCRIP
		LOC728743
		NELF
		KCNJ12
		STARD4
		GPR35
		ZNF589
		SIGLEC12
		ACVR1
		SKINTL
		STAR
		C3orf26
		KLB
		VAMP5
		DNAJC27
		SYTL2
		ANKRD44
		SNORD114-26
		CPNE6
		LOC285796
		SP2
		KIAA1967
		DPF1
		FOXS1
		CALN1
		HLA-G
		LRP2
		ARPP-21
		ARSG
		C11orf45
		C21orf29
		SEMA6D
		LMBR1L
		PCMTD1
		KCNJ3
		MAPK13
		TBX18
		C2
		NOP14
		LOC255512
		EIF4EBP1
		NTF3
		SYT8
		DPP9
		GSPT1
		NKX6-2
		FER
		RGL2
		TRPC6
		SLC43A2
		LOC388692
		PIGY
		LIG1
		DNM2
		PLA2G7
		EXTL2
		VARS
		LOC100130872
		RAX
		TERT
		PDE6B
		DLGAP3
		PI4K2B
		MACC1
		KCMF1
		MFAP2
		ZDHHC13
		SOCS1
		C14orf115
		LOC100189589
		ST5
		STRA6
		MPP5
		C21orf7
		LHFP
		C22orf24
		SUSD4
		C6orf174
		CPLX2
		ARSD
		FGF5
		RTCD1
		NSMCE1
		PTPRN
		SLC35D1
		COL16A1
		RNF24
		TTC22
		SFRS4
		FAM40B
		MIR25
		REPS1
		TP53I11
		ST3GAL4
		DCPS
		SH2D1B
		SRC
		MINA
		VASN
		SETD1B
		MYST4
		TFAP2A
		NFS1
		RGNEF
		CRMP1
		PLIN5
		PDE4B
		DDX10
		SNORA64
		FBXL7
		MAPRE2
		RAB11FIP1
		ZNF169
		KRT7
		ZNF26
		KIF13A
		DLGAP5
		GLIPR1L2
		TCTE1
		PCDH17
		C1orf54
		GRINA
		DNAJB2
		CDK11B
		LUC7L3
		UBE2MP1
		PGA5
		HAT1
		MLL5
		LOC134466
		SMTN
		TMEM108
		CMTM5
		CYP17A1
		SEC62
		NKPD1
		DDX59
		GJC2
		EIF2C2
		GABRB3
		ENO1
		TAF3
		HOXD3
		GPR85
		P11
		P4HA1
		BFSP1
		UBE2Z
		KIAA1984
		DSCR9
		C9orf130
		NR2C1
		NDUFB11
		STK19
		ADAMTS3
		OSBPL2
		PDIA3P
		GRM7
		C7orf54
		PCDHB12
		FFAR2
		GLI2
		C4orf6
		BTNL2
		ALDH1A3
		TGIF1
		TP53
		C18orf32
		C13orf35
		RAPGEF2
		C6orf145
		ATP6V1G2
		MNT
		TM4SF1
		ZSCAN23
		OR51E2
		EMILIN2
		SMG7
		STK11
		ZNF438
		DZIP1L
		LOC100128288
		SETD1A
		TDGF3
		FIZ1
		UNC80
		KIAA1211
		HNF1B
		MGC2752
		IQSEC3
		GPR25
		C10orf93
		ATP6V0A1
		SRA1
		IMMP2L
		SPSB4
		LOC282997
		ZNF469
		BRD2
		ADAMTSL5
		FAM53B
		DNAH3
		RPS6KA1
		C16orf80
		SLC7A1
		AGAP3
		ATXN1
		LAMC2
		IGSF9B
		SPSB1
		KIRREL3
		GORASP2
		USP36
		ADAM17
		CTNND1
		GABRG2
		FAM78B
		MYOG
		CPNE1
		MEI1
		ZC3H4
		SEMA4F
		NUDCD3
		OLFML3
		CPS1
		NDRG4
		NCOA2
		TRIML1
		TMEM120A
		DNAJC17
		N4BP1
		GPR120
		SLC35F2
		ATP10D
		LCP1
		GALNT8
		PRKCH
		NRXN3
		RASSF8
		USP12
		AGPAT5
		LOC100302640
		HNRNPA3P1
		ABCB6
		MRPS25
		SERF2
		RABGAP1L
		HSBP1L1
		CD22
		EIF4H
		MAPK8IP3
		LOC286016
		IMPDH1
		PRKACA
		ACP6
		SPRY4
		LOC100129637
		TRPV3
		NMU
		KCNH7
		WDR37
		BOC
		SEMA4A
		NUAK2
		TBRG4
		POU5F1
		RAB1A
		ANO8
		LOC285696
		WDR90
		MLL2
		C17orf55
		ELTD1
		C2orf3
		RUFY3
		ERI3
		FBXO38
		KRTAP12-3
		NFKB1
		MANBA
		LDB1
		ABCC1
		GFRA1
		NKX2-6
		PCBP2
		MFAP1
		ZKSCAN3
		ACTA1
		SYCE1L
		PLEKHG1
		NHLH1
		SP8
		CTSA
		RNF151
		WIPF1
		INPP4A
		MMADHC
		SBSN
		ATP8A2
		SNTB1
		FAM181A
		GFRAL
		EIF1AD
		SHOX2
		MTIF2
		KCNIP2
		EXOC7
		CLEC11A
		TOLLIP
		DKFZp761E198
		NLE1
		GRIA4
		RNF11
		PCDHB5
		ANKRD32
		PLVAP
		NOD2
		ELMO3
		GPR68
		ARMC5
		LOC100289341
		UBTF
		C1orf187
		ZNF860
		LOC100133545
		SNORD115-10
		WDYHV1
		SEMA6B
		BAALC
		TNP1
		JDP2
		POU2F1
		GAPDH
		ERRFI1
		LOXHD1
		ZC3H15
		HTR3E
		MTL5
		LOC440895
		SFRS12IP1
		LOC154822
		ENGASE
		LOC100129354
		GNA12
		PLEKHA5
		MAP1LC3B2
		PIGC
		PSCA
		LOC339524
		LRAT
		CIB4
		MACROD2
		MMP19
		TTLL5
		SGK3
		AKAP11
		EPHA8
		INO80
		PLAC1L
		DTX3
		LOC150185
		TMTC1
		EPHA10
		GSTM2
		IGSF22
		ETV1
		HGFAC
		SULT2B1
		CTTNBP2NL
		TRAFD1
		PARP9
		SEPT6
		PEAR1
		BACH2
		AUTS2
		C6orf138
		MGRN1
		LEPREL1
		PGS1
		RPRM
		PPP2R3A
		BAT2
		TECPR1
		PPARGC1B
		ACTG1
		SLC25A41
		OR14J1
		PLEKHA6
		COL27A1
		PHLDB2
		CYFIP2
		RPLP0P2
		MAP3K11
		MUM1
		OLIG2
		LACTB
		ZKSCAN2
		CCDC148
		HEATR2
		ANKS3
		RBM28
		PCSK7
		LOC100130933
		TMEM26
		PBX2
		TRIM36
		SIK1
		BCAS3
		HGS
		POLA2
		FBXL13
		EVPL
		PVRL4
		HSD17B6
		ADARB2
		SF3B3
		PIM2
		CPNE7
		GJA5
		LNX1
		EPHB4
		REEP2
		PYCARD
		FAM176A
		CAPZB
		ARL8B
		ERC1
		YPEL3
		TP53BP2
		HTRA4
		ESPNP
		CACNA1G
		VGLL4
		KCP
		SPHK2
		NXPH2
		XYLT1
		GNPTG
		ZFAT
		C21orf128
		PCDHA6
		SLC6A3
		C16orf53
		RAD51L1
		KRT75
		ZBTB17
		B3GNT2
		ART5
		TMEM63A
		FNBP1
		DCAF17
		BCL2L14
		LOC728264
		CKAP4
		MYADM
		TMTC2
		SLFN12L
		PITPNM1
		ZNF652
		MCTP1
		SCN3B
		ACER1
		FAM50A
		AGPAT9
		IQGAP2
		PCP2
		ACTR3C
		CDYL
		DERL3
		KHNYN
		NPDC1
		RBP5
		C3orf14
		ANKS1A
		SMNDC1
		CLPB
		BARHL2
		RYR3
		C7orf46
		C14orf48
		C2orf55
		PRCP
		PDE6A
		TBCB
		SLC5A11
		DHCR24
		MEF2D
		MYO1B
		VAMP8
		ANKRA2
		PVRL1
		CNTD2
		C12orf42
		ZSCAN18
		FAM178A
		ADAMTS18
		SEPT14
		ZNF837
		DCHS2
		SNORD78
		PLAU
		MATK
		EHF
		CTNND2
		DNAH14
		AMICA1
		TBC1D14
		COL22A1
		PNKP
		RASSF7
		TC2N
		ODZ2
		MATR3
		MSC
		UGGT1
		PACSIN2
		SERPINB5
		SEC23B
		FAM5C
		LGR6
		DCK
		CALR3
		PTPN18
		HLTF
		C17orf91
		NAT8
		MID1IP1
		C7orf58
		SYNE2
		SLC22A4
		FLJ12825
		LDHD
		SQRDL
		DOCK2
		GALK1
		NUP214
		SNHG4
		LOC100133612
		AGR3
		SDCCAG8
		SSH2
		SYNPO2
		FSCN2
		CD1D
		LOC202781
		PTPDC1
		KIAA0141
		PROM2
		ALOX5
		GPR162
		CDH13
		B4GALNT4
		NLRP3
		MDGA2
		CCDC50
		GNAI2
		FASN
		GPR116
		BTNL9
		CAMK1
		RFC3
		GK2
		FAM129A
		ZNF219
		CD33
		SMPD4
		NAPSB
		CROCC
		ZNF506
		NOM1
		CCBP2
		ZYG11A
		MARCH10
		ACYP2
		CLDN4
		POU3F4
		SLC22A18
		MANBAL
		STX2
		FAM46B
		TMEM86A
		PIGZ
		EPHA2
		CRLS1
		CLCN6
		TCHH
		WFDC5
		BIN3
		SAMD12
		WDR8
		CMIP
		ZNF274
		ATF3
		CARD11
		UBE2F
		TSSC1
		C1QL3
		POU1F1
		SLC2A13
		PLK1
		FBN2
		ZNF397
		DAB1
		RTN4R
		LAIR2
		ZDHHC16
		SYT2
		ST3GAL1
		EVI5L
		ANXA13
		MIR346
		ARMCX5
		NPPB
		ZNF148
		AMN1
		CNOT4
		KLF16
		IKZF1
		APEH
		LOC404266
		SLC26A8
		MYH16
		SNTG1
		PLA2G2A
		TMEM159
		PCYT1A
		MAPKAP1
		SEC16B
		C5orf38
		SLC16A12
		THOC2
		CYFIP1
		LOC285692
		LOC728392
		TAF1B
		CACHD1
		EXOC6B
		PCMT1
		HLA-E
		EVC2
		RAB37
		MRPL24
		GON4L
		ATP1B1
		SNORD114-25
		LILRB4
		TRIM31
		NEUROG3
		ARNT
		NCRNA00171
		UBA7
		BDNF
		GRIPAP1
		HIST1H3B
		IQCH
		SLC25A16
		HSPB3
		STEAP3
		RPA2
		CABP5
		CXorf42
		SEMA3E
		PQBP1
		REST
		DNAH6
		SCIN
		MGAT5
		TSPAN8
		PPAP2A
		MUC1
		ULK1
		LOC146336
		ARID3A
		FAM26D
		WDR43
		ACOX1
		TLX2
		EFNA4
		KIF5B
		USP24
		MRPS17
		CPLX1
		MYH9
		LRRC17
		TTYH3
		LOC200726
		SEC31B
		IDH2
		ZNHIT1
		LOC151174
		S100A5
		ANKAR
		AICDA
		RNF180
		ELF3
		RAP1GAP
		MYEF2
		TLR6
		MEF2A
		RNF215
		ADAMTS9
		AGPAT3
		STIM1
		KCNH2
		MARCH8
		PODXL2
		NTNG2
		COL21A1
		GCM2
		SRPK3
		TNNI3
		HOXB3
		IGFALS
		E2F1
		PPAPDC3
		NPAT
		MORN1
		COIL
		C6orf150
		HAUS6
		ARHGEF2
		PRKD3
		RCOR3
		TSC2
		NRP2
		DHX30
		C10orf81
		CDH2
		EEFSEC
		ARF1
		ARID5B
		MOG
		CCNG2
		ITSN2
		PLCH2
		CDX2
		WDR88
		HOXB13
		SOX2OT
		SIGLEC14
		C4orf37
		C13orf36
		CNN3
		TANC1
		HIST1H2AL
		IRF6
		TRH
		CAPN9
		NT5C
		SH3D20
		LOC440040
		SLC1A5
		CALCA
		KIAA0174
		MIR365-1
		DLL1
		DTX1
		GNASAS
		TNNC1
		MAPT
		LPPR2
		HLA-DPB2
		HOXD4
		SMC4
		TRIM55
		SNORD30
		RASGEF1C
		PLXNC1
		HLA-DQB1
		NUPL1
		MGAT5B
		FBXW2
		ECM1
		SIX3
		CHRNB4
		OGG1
		HDAC9
		WIPF3
		HOXA3
		PARP14
		EPB41L1
		C1orf21
		TOM1L2
		OR7A5
		DLX4
		RPS8
		FOXJ2
		C10orf76
		PHOX2B
		CPNE2
		MYT1
		LY6G6C
		LOC340094
		CHST13
		VAPA
		IFIT2
		HILS1
		CORO1B
		DNALI1
		GPR133
		LEFTY1
		BRF1
		ATHL1
		TMEM171
		ZC3HAV1
		TARS
		ARHGAP28
		SLBP
		CCDC109B
		MTOR
		RNF5P1
		ANAPC7
		MCM3
		MIR124-1
		C20orf151
		FAM110A
		LOC100129066
		WT1
		HIST3H2A
		IQUB
		STK38L
		TXNRD2
		FES
		VWA5B1
		NPTX2
		KSR1
		SLC27A1
		RALGAPA2
		CBLB
		CETN1
		CXorf58
		AP2M1
		SLC9A7
		SLC22A11
		HMX2
		VPS39
		TEAD2
		STARD3
		TUFT1
		LILRA2
		GSTO2
		RP1
		TLL2
		C20orf56
		ZNF76
		RAF1
		C17orf54
		INF2
		ANO1
		PRPF6
		CRB2
		SNORD47
		LOC115110
		RAMP1
		NCR3
		KIR3DX1
		ST8SIA1
		REG1P
		JAKMIP1
		CNRIP1
		MYO1H
		ZYX
		SH3KBP1
		DNLZ
		RIMS3
		SMAD7
		UNC13D
		CFHR4
		SNORD75
		TMC8
		FHL2
		CDC42BPG
		CADPS
		NCAPG2
		PHOX2A
		ZFPM1
		S100A14
		BZW1
		FGFR2
		HCG26
		XRCC3
		C13orf16
		ITPKA
		RTN4RL2
		PCNA
		RDBP
		ACRBP
		BEST1
		MMACHC
		RBBP4
		RBM20
		DOLPP1
		FLJ40330
		RPL22
		XKR7
		RGS7
		FER1L4
		CD207
		FAM90A7
		SLC38A8
		RAB6B
		CHAT
		TTBK1
		S1PR4
		KYNU
		CPT1B
		GPN3
		PCDHB4
		CD2AP
		TFAP2D
		PEX7
		IL22
		TTC39C
		CTBP1
		MYLK4
		XRRA1
		STX11
		BEND7
		CLVS2
		MIR548F3
		TBXAS1
		C14orf159
		C8orf42
		C3orf24
		FAM18B2
		NUDT14
		KIF5A
		ASCC2
		GFM1
		SLC44A1
		KBTBD11
		PLEKHA7
		SLPI
		FAM168B
		CYB561D2
		GPR45
		SIPA1L3
		C1orf159
		OBFC2B
		GNG4
		C8orf75
		TBKBP1
		DRAM1
		SMCP
		RSAD1
		ZNF217
		PNPLA1
